지점,일시,기온(°C),풍속(m/s),습도(%)
112,2019-05-24 01:00,17.5,1.1,65
112,2019-05-24 02:00,17.5,2.2,66
112,2019-05-24 03:00,17.5,1.9,69
112,2019-05-24 04:00,17.4,1.8,69
112,2019-05-24 05:00,17.3,2.1,69
112,2019-05-24 06:00,17.7,1.9,70
112,2019-05-24 07:00,18.9,1.2,65
112,2019-05-24 08:00,21.3,2.5,55
112,2019-05-24 09:00,23.4,2.5,48
112,2019-05-24 10:00,25,2.6,43
112,2019-05-24 11:00,27,1.4,43
112,2019-05-24 12:00,26.2,3.4,46
112,2019-05-24 13:00,27.4,3.3,41
112,2019-05-24 14:00,27.4,3.1,42
112,2019-05-24 15:00,28,3.2,44
112,2019-05-24 16:00,27.9,2.9,45
112,2019-05-24 17:00,27.2,3.5,48
112,2019-05-24 18:00,25.1,3.3,52
112,2019-05-24 19:00,23.7,2.7,56
112,2019-05-24 20:00,22.2,1.7,66
112,2019-05-24 21:00,21,.3,67
112,2019-05-24 22:00,20.2,1.8,67
112,2019-05-24 23:00,19.6,1.5,71
112,2019-05-25 00:00,18.8,.9,76
